movie_title,available_globally,viewing_hours,release_month,runtime,runtime_category,genre,language,country,imdb_rating,type,total_seasons,gn_drama,gn_action,gn_fantasy,gn_mystery,gn_talk-show,gn_unknown,gn_news,gn_war,gn_film-noir,gn_horror,gn_crime,gn_thriller,gn_romance,gn_musical,gn_reality-tv,gn_biography,gn_comedy,gn_short,gn_sci-fi,gn_western,gn_history,gn_adventure,gn_documentary,gn_music,gn_family,gn_adult,gn_game-show,gn_animation,gn_sport,lg_english,lg_other,lg_spanish,lg_japanese,lg_french,ct_united_states,ct_other,ct_united_kingdom,ct_japan,ct_france,type_encoded
Manifest,1,262600000,9,43,Medium,"Drama, Mystery, Sci-Fi",English,United States,7.1,series,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Kaleidoscope: Limited Series,1,252500000,7,93,Feature Long,Unknown,Other,Other,7.371250525050904,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Firefly Lane,1,251500000,2,30,Short,"Drama, Romance",English,United States,7.7,series,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
The Mother,1,249900000,5,115,Feature Long,"Action, Thriller",English,United States,5.6,movie,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Physical: 100 ,1,235000000,1,30,Short,"Game-Show, Reality-TV",Korean,South Korea,7.6,series,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
Crash Course in Romance: Limited Series ,1,234800000,7,93,Feature Long,Unknown,Other,Other,7.301988552923834,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Love Is Blind,1,229700000,2,1,Short,"Reality-TV, Romance",English,United States,6.2,series,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
BEEF,1,221100000,4,30,Short,"Comedy, Drama",English,United States,8.0,series,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
The Diplomat,1,214100000,4,30,Short,"Drama, Thriller",English,"United Kingdom, United States",8.0,series,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
Luther: The Fallen Sun,1,209700000,3,129,Long,"Crime, Drama, Mystery","English, Estonian, Portuguese","United Kingdom, United States",6.4,movie,1.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
Fake Profile ,0,206500000,5,30,Short,"Drama, Romance, Thriller",Spanish,Colombia,5.7,series,1.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Vikings: Valhalla,1,205500000,2,2,Short,"Action, Adventure, Drama","English, Latin",United States,7.3,series,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
Extraction 2,1,201800000,7,102,Feature Long,Unknown,Other,Other,7.125941300241778,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
