Title,Available Globally?,Release Date,Hours Viewed
Gilmore Girls,Yes,,"71,300,000"
Red Rose,Yes,2023-02-15,"71,100,000"
Fauda ,Yes,2023-01-20,"71,000,000"
New Amsterdam (2018),No,,"70,600,000"
Gilmore Girls,Yes,,"69,900,000"
Gilmore Girls,Yes,,"69,800,000"
The Blacklist,No,,"69,700,000"
Divorce Attorney Shin: Limited Series ,Yes,2023-03-04,"69,500,000"
Stranger Things 2,Yes,2017-10-27,"69,200,000"
Hometown Cha-Cha-Cha ,Yes,2021-08-28,"69,000,000"
Love Is Blind,Yes,2022-10-19,"68,900,000"
Kill Boksoon ,Yes,2023-03-31,"68,500,000"
The Thundermans,No,,"68,500,000"
The Flash (2014),No,,"68,200,000"
Red Notice,Yes,2021-11-12,"68,100,000"
Henry Danger,No,,"67,800,000"
The Queen of Flow ,No,2021-11-17,"67,800,000"
The Walking Dead,No,,"67,700,000"
Viking Wolf ,Yes,2023-02-03,"67,500,000"
Designated Survivor,Yes,2017-09-28,"67,200,000"
Bebefinn,Yes,,"67,100,000"
Hotel Transylvania 2,No,,"67,000,000"
Stranger Things 3,Yes,2019-07-04,"67,000,000"
Masha and the Bear,No,,"66,700,000"
Outlander,No,2016-03-31,"66,500,000"
Grizzy and the Lemmings,No,,"66,000,000"
Single’s Inferno ,Yes,2022-12-13,"65,900,000"
The Witcher: Blood Origin: Limited Series,Yes,2022-12-25,"65,300,000"
The Nurse: Limited Series ,Yes,2023-04-27,"65,200,000"
The Watcher,Yes,2022-10-13,"64,400,000"
Jumanji: The Next Level,No,,"64,300,000"
Suits (2011),Yes,,"64,200,000"
Gilmore Girls,Yes,,"63,900,000"
The Tailor ,Yes,2023-05-02,"63,900,000"
All American,No,,"63,700,000"
Peppa Pig,No,,"63,700,000"
DAHMER: Monster: The Jeffrey Dahmer Story,Yes,2022-09-21,"63,500,000"
The Blacklist,No,,"63,500,000"
Narvik,No,2023-01-23,"63,100,000"
Home (2015),No,,"62,800,000"
The Sea Beast,Yes,2022-07-08,"62,700,000"
The Walking Dead,No,,"62,300,000"
Harry & Meghan: Limited Series,Yes,2022-12-08,"62,000,000"
The Walking Dead,No,,"62,000,000"
My Dad the Bounty Hunter,Yes,2023-02-09,"61,800,000"
Dog Gone,Yes,2023-01-13,"61,600,000"
Maid: Limited Series,Yes,2021-10-01,"61,500,000"
Pasión de Gavilanes,No,,"61,500,000"
A Man Called Otto,No,,"61,300,000"
Peaky Blinders,No,2014-09-30,"61,100,000"
Victorious,No,,"61,100,000"
Never Have I Ever,Yes,2020-04-27,"61,000,000"
THE DAYS: Limited Series,No,2023-06-01,"60,800,000"
Eva Lasting ,Yes,2023-02-15,"60,600,000"
Unseen,Yes,2023-03-29,"60,100,000"
Narcos,Yes,2015-08-28,"59,900,000"
The Walking Dead,No,,"59,800,000"
MADOFF: The Monster of Wall Street: Limited Series,Yes,2023-01-04,"59,600,000"
The Witcher,Yes,2021-12-17,"59,300,000"
Sky Rojo,Yes,2023-01-13,"58,500,000"
Young Lady and Gentleman ,No,,"58,500,000"
Miraculous: Tales of Ladybug & Cat Noir,No,,"58,300,000"
Never Have I Ever,Yes,2022-08-12,"58,300,000"
The Gray Man,Yes,2022-07-22,"58,300,000"
S.W.A.T. (2017),No,,"57,900,000"
ONE PIECE: East Blue ,No,,"57,800,000"
Brooklyn Nine-Nine,No,,"57,500,000"
New Amsterdam (2018),No,,"57,500,000"
Workin' Moms,No,2023-04-26,"57,500,000"
Barbie Life in the Dreamhouse,Yes,,"57,400,000"
The Walking Dead,No,,"57,400,000"
The Blacklist,No,,"57,000,000"
The Sandman,Yes,2022-08-05,"56,700,000"
True Spirit,Yes,2023-02-03,"56,700,000"
CoComelon,No,2022-03-31,"56,600,000"
Gilmore Girls,Yes,,"56,500,000"
The Strays,Yes,2023-02-22,"56,500,000"
Suits (2011),Yes,,"56,400,000"
The Croods,No,,"56,400,000"
Grizzy and the Lemmings,No,,"56,300,000"
The Empress ,Yes,2022-09-29,"56,000,000"
Matilda (1996),No,,"55,700,000"
Outlast,Yes,2023-03-10,"55,500,000"
The Good Doctor,No,,"55,500,000"
CoComelon,No,2023-02-14,"55,200,000"
Jane The Virgin,Yes,,"55,200,000"
The Blacklist,No,,"55,200,000"
VINLAND SAGA ,No,,"55,100,000"
The Queen of Flow ,No,2018-11-09,"55,000,000"
Brooklyn Nine-Nine,No,,"54,800,000"
Carinha de Anjo,No,,"54,400,000"
Surviving Escobar - Alias JJ ,No,2017-07-31,"54,400,000"
The Circle,Yes,2022-12-28,"54,400,000"
The Ultimatum: Queer Love,Yes,2023-05-24,"53,800,000"
Never Have I Ever,Yes,2021-07-15,"53,700,000"
Brooklyn Nine-Nine,No,,"53,600,000"
¡Que viva México!,Yes,2023-05-11,"53,500,000"
Emily in Paris,Yes,2021-12-22,"53,300,000"
The Last Kingdom,No,2022-03-09,"53,300,000"
Full Swing,Yes,2023-02-15,"53,100,000"
The Walking Dead,No,,"53,000,000"
Welcome to Eden ,Yes,2022-05-06,"53,000,000"
We Can Be Heroes,Yes,2020-12-25,"52,800,000"
Arnold: Limited Series,Yes,2023-06-07,"52,500,000"
Better Call Saul,No,2015-02-08,"52,500,000"
The King's Affection ,Yes,2021-10-11,"52,400,000"
Shameless (U.S.),No,,"52,300,000"
Missing: Dead or Alive?,Yes,2023-05-10,"52,200,000"
Bodyguard,Yes,2018-10-24,"52,000,000"
Dr. Seuss' The Lorax,No,,"52,000,000"
1899,Yes,2022-11-17,"51,800,000"
A Tourist's Guide to Love,Yes,2023-04-21,"51,800,000"
It's Okay to Not Be Okay ,Yes,2020-06-20,"51,800,000"
Vikings (2013),No,,"51,800,000"
Faraway,Yes,2023-03-08,"51,700,000"
Blood & Gold,Yes,2023-05-26,"51,600,000"
I Am Georgina ,Yes,2023-03-24,"51,600,000"
The Blacklist,No,,"51,600,000"
Little Women: Limited Series ,No,2022-09-03,"51,300,000"
Grey's Anatomy,No,,"51,200,000"
The Walking Dead,No,,"51,200,000"
The Office (U.S.),No,,"51,000,000"
The Last Kingdom,Yes,2015-12-28,"50,900,000"
The Endless Night: Limited Series ,Yes,2023-01-25,"50,800,000"
Faithfully Yours,No,2023-05-17,"50,600,000"
Masha and the Bear,No,,"50,400,000"
Masha and the Bear,No,,"50,300,000"
The Office (U.S.),No,,"50,100,000"
2 Hearts,No,,"50,000,000"
Suits (2011),Yes,,"50,000,000"
Tin & Tina,Yes,2023-05-26,"49,700,000"
The Blacklist,No,,"49,600,000"
Friends (1994),No,,"49,400,000"
Love Is Blind: Brazil ,Yes,2022-12-28,"49,300,000"
VINLAND SAGA ,Yes,,"49,300,000"
"Newly Rich, Newly Poor ",No,,"49,200,000"
The Lincoln Lawyer,Yes,2022-05-13,"49,200,000"
Brooklyn Nine-Nine,No,,"48,900,000"
Cobra Kai,Yes,2022-09-09,"48,900,000"
Orange Is the New Black,Yes,2013-07-11,"48,800,000"
El final del paraíso,No,,"48,600,000"
Shooter,No,2016-11-16,"48,600,000"
Brooklyn Nine-Nine,No,,"48,500,000"
Rosario Tijeras (Mexico),No,,"48,500,000"
The Smurfs (2021),No,,"48,400,000"
Emily in Paris,Yes,2020-10-02,"48,300,000"
The Magician's Elephant,Yes,2023-03-17,"48,300,000"
Friends (1994),No,,"48,200,000"
Shrek,No,,"48,100,000"
Suits (2011),Yes,,"48,100,000"
Teen Titans Go!,No,,"48,100,000"
American Manhunt: The Boston Marathon Bombing: Limited Series,Yes,2023-04-12,"47,900,000"
Twenty Five Twenty One ,Yes,2022-02-12,"47,800,000"
Shrek 2,No,,"47,500,000"
JUNG_E ,Yes,2023-01-20,"47,100,000"
Friends (1994),No,,"46,900,000"
The School for Good and Evil,Yes,2022-10-19,"46,900,000"
Puss in Boots (2011),No,,"46,600,000"
The Thundermans,No,,"46,500,000"
Friends (1994),No,,"46,400,000"
Teen Titans Go!,No,,"46,400,000"
Rana Naidu ,Yes,2023-03-10,"46,300,000"
From Scratch: Limited Series,Yes,2022-10-21,"46,200,000"
Bake Squad,Yes,2023-01-20,"46,100,000"
Friends (1994),No,,"46,100,000"
Under the Queen's Umbrella: Limited Series ,Yes,2022-10-15,"46,100,000"
Ganglands ,Yes,2023-02-17,"46,000,000"
The Queen's Gambit: Limited Series,Yes,2020-10-23,"45,900,000"
Virgin River,Yes,2022-07-20,"45,900,000"
Gabby's Dollhouse,Yes,2023-03-20,"45,800,000"
A Beautiful Life,Yes,2023-06-01,"45,700,000"
Peppa Pig,No,,"45,700,000"
Copycat Killer ,Yes,2023-03-31,"45,600,000"
Avatar: The Last Airbender: Book 1,No,,"45,500,000"
Friends (1994),No,,"45,400,000"
Peaky Blinders,No,2014-11-14,"45,400,000"
The Flash (2014),No,,"45,400,000"
Boys Over Flowers ,No,,"45,300,000"
The Office (U.S.),No,,"45,300,000"
Transatlantic: Limited Series,Yes,2023-04-07,"45,300,000"
Friends (1994),No,,"45,200,000"
Masha and the Bear,No,,"45,100,000"
Friends (1994),No,,"44,900,000"
The Woman King,No,,"44,900,000"
Love Island USA,No,,"44,800,000"
Money Heist: Part 5 ,Yes,2021-09-03,"44,700,000"
The Walking Dead,No,,"44,600,000"
Grey's Anatomy,No,,"44,300,000"
S.W.A.T. (2017),No,,"44,200,000"
Las muñecas de la mafia,No,2015-07-01,"44,000,000"
Lucifer,No,2019-05-08,"44,000,000"
Better Call Saul,No,2020-02-24,"43,900,000"
Teen Wolf (2011),No,,"43,900,000"
Friends (1994),No,,"43,800,000"
In Love All Over Again ,Yes,2023-02-14,"43,800,000"
PIECES OF HER,Yes,2022-03-04,"43,800,000"
F9: The Fast Saga,No,,"43,700,000"
The 100,No,,"43,600,000"
The Blacklist,No,,"43,500,000"
Vikings (2013),No,,"43,400,000"
Shameless (U.S.),No,,"43,300,000"
The Office (U.S.),No,,"43,300,000"
El Chema,No,,"43,200,000"
Rosario Tijeras (Mexico),No,,"43,200,000"
Santiago of the Seas,No,,"43,200,000"
Seinfeld,Yes,,"43,200,000"
Inside Man,Yes,2022-10-31,"43,100,000"
The Last Kingdom,No,2020-04-26,"42,900,000"
Through My Window 2: Across the Sea ,Yes,2023-06-23,"42,900,000"
CoComelon,Yes,2022-09-05,"42,800,000"
Seinfeld,Yes,,"42,800,000"
Valeria,Yes,2023-06-02,"42,800,000"
Pokémon The Series: Indigo League ,No,,"42,700,000"
Purple Hearts,Yes,2022-07-29,"42,700,000"
The Last Kingdom,Yes,2018-11-19,"42,700,000"
Waco: American Apocalypse: Limited Series,Yes,2023-03-22,"42,700,000"
Gabby's Dollhouse,Yes,2021-08-10,"42,600,000"
Too Hot to Handle,Yes,2022-12-07,"42,600,000"
Guillermo del Toro’s Pinocchio,Yes,2022-12-09,"42,500,000"
Unlocked ,Yes,2023-02-17,"42,500,000"
The Crown,Yes,2016-11-04,"42,400,000"
Arrow,No,,"42,300,000"
Blippi's Adventures,Yes,,"42,100,000"
The Good Doctor,No,,"42,100,000"
Lucifer,No,2021-09-10,"41,800,000"
"Pamela, a love story",Yes,2023-01-31,"41,800,000"
Chor Nikal Ke Bhaga ,Yes,2023-03-24,"41,700,000"
Seinfeld,Yes,,"41,700,000"
The Garfield Show,No,,"41,500,000"
Agency ,No,,"41,400,000"
White Chicks,No,,"41,400,000"
Wellmania,Yes,2023-03-29,"41,300,000"
Seinfeld,Yes,,"41,200,000"
The Creature Cases,Yes,2022-04-12,"41,200,000"
Maestro in Blue ,Yes,2022-12-18,"41,100,000"
Turbo (2013),No,,"41,100,000"
McGREGOR FOREVER: Limited Series,Yes,2023-05-17,"41,000,000"
Black Money Love ,No,,"40,900,000"
Bloodshot (2020),No,,"40,900,000"
The Flash (2014),No,,"40,900,000"
El Chapo,Yes,2017-06-16,"40,600,000"
Shameless (U.S.),No,,"40,600,000"
Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc ,No,,"40,500,000"
Jane The Virgin,No,,"40,400,000"
The Snitch Cartel: Origins ,No,2021-07-28,"40,400,000"
Guillermo del Toro's Cabinet of Curiosities,Yes,2022-10-25,"40,300,000"
Pokémon Journeys: The Series,No,,"40,300,000"
Seinfeld,Yes,,"40,300,000"
Shrek Forever After,No,,"40,300,000"
The 100,No,,"40,300,000"
Unsolved Mysteries,Yes,2022-10-18,"40,300,000"
Better Call Saul,No,2017-04-11,"40,200,000"
The Last Kingdom,Yes,2017-03-20,"40,200,000"
Too Hot to Handle: Germany,Yes,2023-02-28,"40,200,000"
Avatar: The Last Airbender: Book 3,No,,"40,100,000"
Our Planet,Yes,2019-04-05,"40,100,000"
H2O: Just Add Water,No,,"40,000,000"
The King: Eternal Monarch ,Yes,2020-04-17,"39,900,000"
The Office (U.S.),No,,"39,900,000"
Grey's Anatomy,No,,"39,800,000"
Emergency: NYC,Yes,2023-03-29,"39,700,000"
In the Name of God: A Holy Betrayal ,Yes,2023-03-03,"39,700,000"
Better Call Saul,No,2016-02-15,"39,500,000"
Gabby's Dollhouse,Yes,2022-11-01,"39,500,000"
Infiesto,Yes,2023-02-03,"39,500,000"
Sanctuary ,No,2023-05-04,"39,400,000"
Suits (2011),No,,"39,400,000"
Ganglands ,Yes,2021-09-24,"39,300,000"
The Hunger Games,No,,"39,300,000"
Trolley: Limited Series ,Yes,2022-12-19,"39,200,000"
High Heat ,Yes,2022-08-17,"39,100,000"
Rosario Tijeras (Mexico),No,,"38,900,000"
The Sinner: Percy,No,2022-01-26,"38,900,000"
Avatar: The Last Airbender: Book 2,No,,"38,700,000"
Ozark,Yes,2022-01-21,"38,700,000"
Shark Tale,No,,"38,700,000"
The Hatchet Wielding Hitchhiker,Yes,2023-01-10,"38,700,000"
6 Underground,Yes,2019-12-13,"38,600,000"
Better Call Saul,No,2018-08-07,"38,600,000"
Narcos,Yes,2016-09-02,"38,600,000"
Grey's Anatomy,No,,"38,400,000"
Mother's Day ,Yes,2023-05-24,"38,300,000"
Orange Is the New Black,Yes,2014-06-06,"38,300,000"
Vikings (2013),No,,"38,300,000"
El Chapo,Yes,2017-12-15,"38,200,000"
Brooklyn Nine-Nine,No,,"38,100,000"
Queer Eye,Yes,2023-05-12,"38,100,000"
Sleeping Dog: Limited Series ,Yes,2023-06-22,"38,000,000"
The Big Bang Theory,No,,"38,000,000"
The Good Doctor,No,,"38,000,000"
Cúmplices de um Resgate,No,,"37,800,000"
The Big Bang Theory,No,,"37,800,000"
The Flash (2014),No,,"37,700,000"
The Good Doctor,No,,"37,700,000"
Back to the Outback,Yes,2021-12-10,"37,600,000"
Booba,Yes,,"37,600,000"
The Big Bang Theory,No,,"37,600,000"
Vikings (2013),No,,"37,600,000"
As Aventuras de Poliana,No,,"37,500,000"
The Big Bang Theory,No,,"37,400,000"
The Rookie,No,,"37,400,000"
Fauda ,Yes,2016-12-02,"37,300,000"
Mr. Sunshine ,Yes,2018-07-07,"37,300,000"
2 Guns,No,,"37,100,000"
"Lyle, Lyle, Crocodile",No,,"37,100,000"
Money Heist: Part 2 ,Yes,2017-11-30,"37,100,000"
Outlander,No,2016-04-10,"37,100,000"
Queens on the Run ,No,2023-04-14,"37,100,000"
Shameless (U.S.),No,,"37,100,000"
S.W.A.T. (2017),No,,"37,000,000"
Peaky Blinders,No,2022-06-10,"36,900,000"
Seinfeld,Yes,,"36,900,000"
The Mitchells vs. The Machines,Yes,2021-04-30,"36,900,000"
PJ Masks,No,,"36,700,000"
All For Love ,No,2020-06-26,"36,600,000"
Glamorous,Yes,2023-06-22,"36,600,000"
Meekah,Yes,,"36,600,000"
Peaky Blinders,No,2016-05-31,"36,600,000"
Troll,Yes,2022-12-01,"36,600,000"
Rebelde Way (2002): Temporada 1,No,,"36,500,000"
The Big Bang Theory,No,,"36,400,000"
Thicker Than Water ,Yes,2023-04-07,"36,300,000"
Chris Rock: Selective Outrage,Yes,2023-03-04,"36,200,000"
Daughter From Another Mother ,Yes,2022-12-25,"36,200,000"
Grown Ups (2010),No,,"36,200,000"
Let Him Go,No,,"36,200,000"
Outlander,No,2022-03-07,"36,200,000"
Against the Ropes ,No,2023-01-25,"36,100,000"
Ozark,Yes,2017-07-21,"36,100,000"
A Quiet Place Part II,No,,"36,000,000"
My Little Pony: Friendship Is Magic,Yes,,"36,000,000"
Power Rangers Dino Fury,No,2021-06-14,"36,000,000"
Hotel Transylvania (2012),No,,"35,900,000"
The Office (U.S.),No,,"35,900,000"
Ancient Apocalypse,Yes,2022-11-11,"35,800,000"
Missing (2023),No,,"35,800,000"
Virgin River,Yes,2019-12-06,"35,800,000"
Queen Cleopatra: Limited Series,Yes,2023-05-10,"35,700,000"
Shameless (U.S.),No,,"35,600,000"
Record of Ragnarok ,No,2021-06-17,"35,500,000"
The Boss Baby: Back in the Crib,Yes,2022-05-19,"35,500,000"
Wish Dragon,Yes,2021-06-11,"35,400,000"
Unstable,Yes,2023-03-30,"35,300,000"
Bling Empire: New York,Yes,2023-01-20,"35,200,000"
Grey's Anatomy,No,,"35,200,000"
King the Land: Limited Series ,No,2023-06-17,"35,200,000"
The Big Bang Theory,No,,"35,200,000"
Hospital Playlist ,Yes,2020-03-12,"35,000,000"
Keep Breathing: Limited Series,Yes,2022-07-28,"35,000,000"
The Big Bang Theory,No,,"35,000,000"
Bad Boys for Life,No,,"34,900,000"
Inventing Anna: Limited Series,Yes,2022-02-11,"34,800,000"
The Big Bang Theory,No,,"34,800,000"
El Cartel,No,,"34,600,000"
That Girl Lay Lay,No,2023-02-23,"34,600,000"
The Big Bang Theory,No,,"34,600,000"
The Big Bang Theory,No,,"34,600,000"
Unlock My Boss ,No,,"34,500,000"
Bullet Train,No,,"34,400,000"
How to Get Away With Murder,No,,"34,300,000"
Pressure Cooker,Yes,2023-01-06,"34,300,000"
CoComelon,Yes,2023-04-10,"34,200,000"
Shameless (U.S.),No,,"34,100,000"
Vikings (2013),No,,"34,100,000"
Cobra Kai,Yes,2020-08-28,"34,000,000"
Grey's Anatomy,No,,"34,000,000"
Jurassic World,No,,"34,000,000"
Riverdale,No,2017-10-12,"34,000,000"
How to Get Rich,Yes,2023-04-18,"33,900,000"
Prisoners (2013),No,,"33,900,000"
Forecasting Love and Weather ,Yes,2022-02-12,"33,800,000"
Gabby's Dollhouse,Yes,2022-02-01,"33,800,000"
Grey's Anatomy,No,,"33,800,000"
Half Bad: The Bastard Son & The Devil Himself,Yes,2022-10-28,"33,800,000"
Money Heist: Part 3 ,Yes,2019-07-19,"33,700,000"
Seinfeld,Yes,,"33,700,000"
The 100,No,,"33,700,000"
Teen Titans Go!,No,,"33,500,000"
White Noise,Yes,2022-12-30,"33,500,000"
Barbecue Showdown,Yes,2023-05-26,"33,400,000"
La piloto,No,,"33,400,000"
The Witcher,Yes,2023-06-29,"33,400,000"
The Crown,Yes,2017-12-08,"33,300,000"
Outlander,No,2020-02-15,"33,200,000"
Peaky Blinders,No,2017-12-20,"33,200,000"
